,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
2195,2000,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,,25.08,1,FLY-510-660-562-561-EXPRESS
2196,2000,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,101.27,1,FLY-510-623-603-607-EXPRESS
2197,2000,0.0,A4,300gsm Art Board Coated,None,Double Sided,,203.78,1,FLY-515-606-707-604-EXPRESS
2198,2000,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,,130.62,1,FLY-697-609-600-557-EXPRESS
2199,2000,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,41.8,2,FLY-512-552-606-524-EXPRESS
2200,2000,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,,337.54,1,FLY-514-561-525-612-EXPRESS
2201,2000,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,355.3,1,FLY-600-652-559-418-EXPRESS
2202,2000,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,20.9,1,FLY-609-553-609-462-EXPRESS
2203,2000,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Double Sided,,203.78,1,FLY-555-609-514-509-EXPRESS
2204,2000,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Single Sided,,138.98,1,FLY-506-554-607-507-EXPRESS
2205,2000,0.0,A6,170gsm Art Paper Silk Finish,None,Single Sided,,34.75,1,FLY-515-565-509-421-EXPRESS
2207,2000,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,,89.34,2,FLY-601-607-609-608-EXPRESS
2212,2000,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Double Sided,,32.4,2,FLY-611-551-613-514-EXPRESS
2213,2000,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,,124.09,1,FLY-458-559-606-423-EXPRESS
2215,2000,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,209.0,1,FLY-419-553-522-705-EXPRESS
2218,2000,0.2,A7,300gsm Art Board Coated,None,Double Sided,,36.58,1,FLY-461-565-472-656-EXPRESS
2219,2000,0.2,A7,350gsm Art Board Silk Finish,None,Single Sided,,34.75,1,FLY-473-615-513-661-EXPRESS
2221,2000,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,,46.66,1,FLY-561-556-555-699-EXPRESS
2224,2000,0.2,A3,300gsm Art Board Coated,None,Single Sided,,337.54,1,FLY-699-516-565-577-EXPRESS
2225,2000,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Single Sided,,34.75,1,FLY-513-562-602-563-EXPRESS
